"Product ID";Image;Name;Reference;Category;"Price (tax excl.)";"Price (tax incl.)";Quantity;Status;Position
17942;https://petchemparts.com//.jpg;"SOLENOID KIT 12 VDC FOR GATE BARRIER MODEL";;Home;0.000000;0;0;1;10841
17941;https://petchemparts.com//.jpg;"Oiler (500cc) Oil lubrication
Material:polyethylene (LDPE).
Cap.16(500ml) Dia.3"""" Ht. 10 1/4""""(1036K13)";;Home;0.000000;0;0;1;10840
17940;https://petchemparts.com//.jpg;"DEMISTER PAD:
TYPE: SIZE: DIA 800 MM X THK 150 MM
MATERIAL: SS316L
SHAPE: ROUND";;Home;0.000000;0;0;1;10839
17939;https://petchemparts.com//.jpg;"Bourdon tube pressure gauge 0 - 10 KG/CM
100 MM DIAL, 1/2 IN NPTM TERMINAL,
STEM MTG, 304 SS CONNECTION";;Home;0.000000;0;0;1;10838
17938;https://petchemparts.com//.jpg;"3LB 14.5""L BRS NO-SPARK EXTREME PWR DRV DEADBLOW HAMMER";;Home;0.000000;0;0;1;10837
17937;https://petchemparts.com//.jpg;"AUXILIARY SWITCH FOR MCCB";;Home;0.000000;0;0;1;10836
17936;https://petchemparts.com//.jpg;"SWITCH,250 VAC";;Home;0.000000;0;0;1;10835
17935;https://petchemparts.com//.jpg;"MICRO SWITCH TO DIN 1/2/3";;Home;0.000000;0;0;1;10834
17934;https://petchemparts.com//.jpg;"START/STOP SWITCH DPDT";;Home;0.000000;0;0;1;10833
17933;https://petchemparts.com//.jpg;THERMOSTAT;;Home;0.000000;0;0;1;10832
17932;https://petchemparts.com//.jpg;"CAPACITOR, 20 UF";;Home;0.000000;0;0;1;10831
17931;https://petchemparts.com//.jpg;"CAPACITOR, 16 UF";;Home;0.000000;0;0;1;10830
17930;https://petchemparts.com//.jpg;"CAPACITOR, 8 UF";;Home;0.000000;0;0;1;10829
17929;https://petchemparts.com//.jpg;LAMP;;Home;0.000000;0;0;1;10828
17928;https://petchemparts.com//.jpg;"Incandescent lamp 100W ";;Home;0.000000;0;0;1;10827
17927;https://petchemparts.com//.jpg;"incandescent lamp
1.8 W ";;Home;0.000000;0;0;1;10826
17926;https://petchemparts.com//.jpg;CONTACTOR;;Home;0.000000;0;0;1;10825
17925;https://petchemparts.com//.jpg;CONTACTOR;;Home;0.000000;0;0;1;10824
17924;https://petchemparts.com//.jpg;SWITCHGEAR;;Home;0.000000;0;0;1;10823
17923;https://petchemparts.com//.jpg;RELAY;;Home;0.000000;0;0;1;10822
17922;https://petchemparts.com//.jpg;RELAY;;Home;0.000000;0;0;1;10821
17921;https://petchemparts.com//.jpg;"CONTROL RELAY";;Home;0.000000;0;0;1;10820
17920;https://petchemparts.com//.jpg;"TIME DELAY RELAY CONTROL,
";;Home;0.000000;0;0;1;10819
17919;https://petchemparts.com//.jpg;"METER ELECTRICAL TEST";;Home;0.000000;0;0;1;10818
17918;https://petchemparts.com//.jpg;"METER,ELEC TEST,KILOWATT TYPE";;Home;0.000000;0;0;1;10817
17917;https://petchemparts.com//.jpg;"METER ELECTRICAL TEST, AMPERE TYPE";;Home;0.000000;0;0;1;10816
17916;https://petchemparts.com//.jpg;"METER ELECTRICAL, VOLT TYPE";;Home;0.000000;0;0;1;10815
17915;https://petchemparts.com//.jpg;"METER ELECTRICAL SERVICE, HOUR TYPE";;Home;0.000000;0;0;1;10814
17914;https://petchemparts.com//.jpg;"Shore ""A"" Durometer test kit";;Home;0.000000;0;0;1;10813
17913;https://petchemparts.com//.jpg;"Shore ""D"" Durometer test kit";;Home;0.000000;0;0;1;10812
17912;https://petchemparts.com//.jpg;"Calibration standard kit for Light Scattering meter";;Home;0.000000;0;0;1;10811
17911;https://petchemparts.com//.jpg;"HV MULTI FLOW for XRF machine";;Home;0.000000;0;0;1;10810
17910;https://petchemparts.com//.jpg;"LPPA DUPLEX for XRF machine";;Home;0.000000;0;0;1;10809
17909;https://petchemparts.com//.jpg;"TOGGLE SWITCH; 1NO+1NC";;Home;0.000000;0;0;1;10808
17908;https://petchemparts.com//.jpg;"COMPOUND SEALING;POWDER";;Home;0.000000;0;0;1;10807
17907;https://petchemparts.com//.jpg;"TWEEZER SS ";;Home;0.000000;0;0;1;10806
17906;https://petchemparts.com//.jpg;"TITANIUM TWEEZERS AA";;Home;0.000000;0;0;1;10805
17905;https://petchemparts.com//.jpg;"TITANIUM TWEEZERS OO";;Home;0.000000;0;0;1;10804
17904;https://petchemparts.com//.jpg;"TITANIUM TWEEZERS #2A";;Home;0.000000;0;0;1;10803
17903;https://petchemparts.com//.jpg;"TITANIUM TWEEZERS #3C";;Home;0.000000;0;0;1;10802
17902;https://petchemparts.com//.jpg;"TITANIUM TWEEZERS #7";;Home;0.000000;0;0;1;10801
17901;https://petchemparts.com//.jpg;"Vertical Metal Wall Thermometer";;Home;0.000000;0;0;1;10800
17900;https://petchemparts.com//.jpg;"Explosion-Proof Refrigerator Freezer";;Home;0.000000;0;0;1;10799
17899;https://petchemparts.com//.jpg;"LOUVER GRATING FOR FAN";;Home;0.000000;0;0;1;10798
17898;https://petchemparts.com//.jpg;"TIP TORCH, SIZE NO 1,FOR CUTTING";;Home;0.000000;0;0;1;10797
17897;https://petchemparts.com//.jpg;"TIP TORCH, SIZE NO 3,FOR CUTTING";;Home;0.000000;0;0;1;10796
17896;https://petchemparts.com//.jpg;"Circuit Breaker";;Home;0.000000;0;0;1;10795
17895;https://petchemparts.com//.jpg;"POLYETHYLENE GLYCOL 300- 1L";;Home;0.000000;0;0;1;10794
17894;https://petchemparts.com//.jpg;"POLYETHYLENE GLYCOL 300- 250ML";;Home;0.000000;0;0;1;10793
17893;https://petchemparts.com//.jpg;Gasket;;Home;0.000000;0;0;1;10792
17892;https://petchemparts.com//.jpg;"Heating Mantle (230 V), 2L";;Home;0.000000;0;0;1;10791
17891;https://petchemparts.com//.jpg;"Sample Filter for HPLC, Box";;Home;0.000000;0;0;1;10790
17890;https://petchemparts.com//.jpg;"TOC PP vials, 50ml, ";;Home;0.000000;0;0;1;10789
